,median_income,median_house_value
131,2.5663,197500.0
132,2.888,246400.0
133,1.1917,86900.0
134,1.8641,50800.0
135,12.6417,500001.0
136,2.8085,105700.0
137,2.4741,151200.0
138,4.5304,181300.0
139,6.8753,403000.0
140,2.4492,103800.0
141,2.2303,116700.0
142,3.7727,159700.0
143,2.125,61900.0
144,3.2174,91800.0
145,2.3036,126000.0
146,3.1389,101800.0
147,1.8958,51300.0
148,4.1118,157300.0
149,1.8095,64100.0
150,1.6156,156300.0
151,4.9464,282400.0
152,6.3433,350500.0
153,2.8214,158300.0
154,4.5721,214700.0
155,3.1776,172600.0
156,1.2778,112500.0
157,4.3036,261800.0
158,2.0564,64700.0
159,8.1926,326600.0
160,3.9745,170800.0
161,15.0001,500001.0
162,3.2229,108300.0
163,2.1522,60800.0
164,3.072,114300.0
165,3.235,210700.0
166,5.8374,289600.0
167,2.9744,136800.0
168,3.7794,96200.0
169,1.8357,104200.0
170,1.449,93100.0
171,2.8561,179100.0
172,2.4706,88800.0
173,1.8939,83000.0
174,2.0417,65900.0
175,2.7148,166800.0
176,5.6235,130600.0
177,5.8623,287800.0
178,3.3021,70800.0
179,2.3147,192500.0
180,4.0929,165000.0
181,3.9559,161100.0
182,6.7413,435900.0
183,5.0543,232000.0
184,2.1189,121700.0
185,0.4999,500001.0
186,4.027,290000.0
187,1.0333,135400.0
188,4.2969,165600.0
189,2.1902,250000.0
190,4.125,171900.0
191,4.3317,173300.0
192,2.2125,120700.0
193,4.1429,200000.0
194,3.0189,144100.0
195,2.3693,127000.0
196,2.75,153200.0
197,2.0096,155700.0
198,4.2222,108900.0
199,3.996,114500.0
200,1.625,79200.0
201,2.2551,71100.0
202,2.5841,112500.0
203,3.3155,237500.0
204,1.2412,216700.0
205,3.8047,94300.0
206,4.037,156900.0
207,3.125,167100.0
208,1.9805,173700.0
209,1.6336,124500.0
210,3.9009,178600.0
211,5.322,282700.0
212,5.3428,279300.0
213,1.4923,44400.0
214,4.7396,135500.0
215,5.9572,443800.0
216,4.175,229800.0
217,2.7778,86900.0
218,3.6389,304000.0
219,3.6538,500001.0
220,3.875,225000.0
221,3.1768,79500.0
222,2.6354,128100.0
223,4.7132,304600.0
224,2.6442,55000.0
225,4.8304,224900.0
226,2.3333,157700.0
227,3.6167,200000.0
228,2.7232,123200.0
229,3.8934,251800.0
230,5.5,179500.0
231,3.3981,246900.0
232,4.1856,404700.0
233,0.9817,166300.0
234,5.1674,333000.0
235,2.0575,67000.0
236,5.8309,309100.0
237,3.662,211900.0
238,5.3245,250000.0
239,3.4402,192400.0
240,2.5374,97200.0
241,7.1298,278600.0
242,1.9032,100000.0
243,3.0139,61500.0
244,3.1607,57500.0
245,2.0437,309100.0
246,4.625,248800.0
247,3.1086,105800.0
248,5.8083,321800.0
249,2.5437,146400.0
250,4.4107,232700.0
251,3.0739,218600.0
252,4.436,135000.0
253,2.9698,93400.0
254,3.2759,195000.0
255,6.7805,392900.0
256,3.2778,148800.0
257,6.8643,333700.0
258,1.5227,71000.0
259,3.1445,438300.0
260,2.7312,147100.0
261,5.5591,136500.0
262,3.875,273000.0
263,6.1995,407200.0
264,2.8906,140600.0
265,2.0724,107600.0
266,3.875,94500.0
267,2.0057,68200.0
268,2.5029,159700.0
269,2.2024,45000.0
270,1.7311,182600.0
271,4.0667,276900.0
272,3.0911,86900.0
273,4.5341,236500.0
274,4.087,134800.0
275,3.4338,195200.0
276,3.0104,204200.0
277,2.3971,99400.0
278,2.7308,139000.0
279,3.3479,182100.0
280,6.0876,483800.0
281,3.9792,210200.0
282,3.3155,231000.0
283,4.9519,500001.0
284,1.7196,75000.0
285,4.4125,144600.0
286,5.3623,201300.0
287,3.2415,172200.0
288,3.9375,187000.0
289,3.2699,100000.0
290,6.2306,500001.0
291,3.7961,162700.0
292,3.3799,239300.0
293,3.3393,168600.0
294,3.0687,88500.0
295,5.4132,216600.0
296,5.9401,315300.0
297,2.8533,137500.0
298,6.1195,251100.0
299,3.5353,164700.0
300,2.7955,183100.0
301,1.65,94200.0
302,0.8478,104900.0
303,3.9036,180800.0
304,1.9962,50800.0
305,1.9704,160300.0
306,3.1711,200800.0
307,3.5745,333700.0
308,8.5938,500001.0
309,3.0521,276600.0
310,3.4,155500.0
311,4.6806,209400.0
312,2.7457,107800.0
313,2.5504,151300.0
314,3.5114,138800.0
315,6.1946,276100.0
316,1.3286,81800.0
317,3.625,329400.0
318,3.1957,159200.0
319,4.1302,258300.0
320,4.3906,500001.0
321,5.4496,238900.0
322,4.1012,244700.0
323,5.0353,305800.0
324,2.25,281300.0
325,3.625,156300.0
326,3.5694,278600.0
327,2.6719,161200.0
328,6.223,260700.0
329,3.733,163500.0
330,3.1786,100600.0
331,1.8723,52600.0
332,3.625,440900.0
333,1.6033,67500.0
334,2.7083,161800.0
335,1.6378,60300.0
336,4.7056,165500.0
337,6.4576,500001.0
338,3.9219,205200.0
339,2.0807,142600.0
340,2.75,146000.0
341,2.3077,140600.0
342,3.6298,108500.0
343,3.375,98500.0
344,4.875,258800.0
345,2.3221,161600.0
346,4.0,154700.0
347,3.4279,84700.0
348,4.5417,238900.0
349,2.9345,225000.0
350,4.1429,303600.0
351,3.8684,265600.0
352,5.1433,185300.0
353,2.4583,75000.0
354,3.4722,243100.0
355,9.8214,500001.0
356,3.1711,104200.0
357,4.7986,236500.0
358,2.0474,61300.0
359,3.8583,193200.0
360,4.0435,132600.0
361,4.2222,500001.0
362,3.8571,143800.0
363,2.465,198700.0
364,2.9286,237500.0
365,2.7308,150400.0
366,3.4643,85100.0
367,3.9167,285200.0
368,0.9589,90000.0
369,2.2981,105400.0
370,1.2813,56400.0
371,2.5603,174200.0
372,3.1975,252400.0
373,2.7451,255400.0
374,5.9641,275000.0
375,3.1028,106400.0
376,3.2188,113800.0
377,2.6538,231800.0
378,3.3669,158900.0
379,3.09,174100.0
380,3.25,112500.0
381,6.203,346800.0
382,6.9742,500001.0
383,0.9914,147500.0
384,2.5701,266700.0
385,1.3867,193800.0
386,3.0773,112500.0
387,3.0905,78200.0
388,2.6745,225000.0
389,10.9722,500001.0
390,2.0789,92400.0
391,3.25,177500.0
392,5.457,337300.0
393,2.5909,176000.0
394,4.1375,222400.0
395,3.2375,114200.0
396,3.3669,376100.0
397,6.939,372000.0
398,2.3261,98400.0
399,6.827,359400.0
400,3.2969,229900.0
401,5.17,335400.0
402,2.9375,206500.0
403,4.0993,83000.0
404,5.1061,257500.0
405,3.8661,168100.0
406,3.6467,346700.0
407,2.2431,63400.0
408,3.0685,162500.0
409,2.6962,288200.0
410,0.8668,137500.0
411,5.2962,291500.0
412,3.3375,186200.0
413,3.2431,221400.0
414,2.9861,171800.0
415,2.4531,229000.0
416,3.0588,145200.0
417,3.0919,185400.0
418,5.3366,165100.0
419,2.5625,154300.0
420,2.2625,132900.0
421,2.0817,104600.0
422,5.273,187600.0
423,3.6974,286600.0
424,1.2826,145500.0
425,3.8026,270000.0
426,4.7022,172800.0
427,7.7201,362700.0
428,4.2672,219400.0
429,3.0723,137300.0
430,3.7045,128100.0
431,2.6058,92200.0
432,3.3036,141000.0
433,4.0408,225900.0
434,2.3864,350000.0
435,4.0417,99300.0
436,3.2708,159700.0
437,2.2898,66100.0
438,3.25,88900.0
439,5.5,289700.0
440,4.4135,272300.0
441,3.2287,264900.0
442,3.52,284200.0
443,2.7569,127500.0
444,5.0681,230500.0
445,6.194,500001.0
446,3.7366,121800.0
447,4.5913,244600.0
448,3.5903,183300.0
449,4.6932,332800.0
450,6.0382,355300.0
451,5.1509,426500.0
452,4.5122,113300.0
453,4.2386,283700.0
454,3.75,478600.0
455,2.6311,124100.0
456,2.5321,105100.0
457,3.875,280800.0
458,2.4821,73800.0
459,6.3489,337900.0
460,3.7455,159600.0
461,7.5057,328500.0
462,3.8068,500001.0
463,3.1897,155000.0
464,2.4792,88800.0
465,5.357,355200.0
466,6.5226,258500.0
467,1.6722,59100.0
468,4.7097,262100.0
469,2.2356,119500.0
470,3.1765,135000.0
471,3.1927,252600.0
472,1.8319,55400.0
473,3.9741,141100.0
474,10.476,500001.0
475,2.9803,115400.0
476,2.7993,145500.0
477,2.1587,143800.0
478,2.1108,200000.0
479,1.3967,46500.0
480,4.3836,102000.0
481,12.3767,500001.0
482,1.3021,100000.0
483,1.5417,57500.0
484,5.057,246300.0
485,4.25,241700.0
486,4.2333,363300.0
487,4.6364,156300.0
488,2.06,85500.0
489,5.6687,207300.0
490,4.125,173900.0
491,5.187,153800.0
492,5.0,329400.0
493,5.7512,240200.0
494,1.9694,173200.0
495,2.5625,60000.0
496,4.5938,102600.0
497,2.0817,113300.0
498,3.3702,370000.0
499,3.2171,230800.0
500,5.1637,500001.0
501,1.0424,81400.0
502,10.9529,500001.0
503,3.4542,121200.0
504,2.8348,101600.0
505,3.75,123100.0
506,11.806,500001.0
507,2.293,71700.0
508,2.1757,110100.0
509,7.3693,373600.0
510,4.55,187700.0
511,2.3929,156800.0
512,1.3844,177500.0
513,2.66,189200.0
514,3.9044,436400.0
515,4.3636,201800.0
516,2.9191,111800.0
517,4.2768,181400.0
518,1.6389,96700.0
519,1.075,67500.0
520,3.375,178100.0
521,3.1908,137900.0
522,1.9018,109700.0
523,3.5838,271300.0
524,2.4297,162500.0
525,3.5046,118300.0
526,7.0102,500001.0
527,4.3182,252700.0
528,2.9,185200.0
529,1.7143,113300.0
530,1.4653,310000.0
531,10.8111,500001.0
532,5.1589,167800.0
533,3.2879,95500.0
534,3.2833,82600.0
535,2.6033,162900.0
536,2.6149,84400.0
537,5.0195,200200.0
538,3.293,337500.0
539,4.45,348300.0
540,4.375,224700.0
541,4.7396,441700.0
542,3.7375,247700.0
543,3.676,135000.0
544,2.1496,97700.0
545,6.3021,333800.0
546,2.3889,53200.0
547,3.8571,174500.0
548,4.2014,143200.0
549,4.0313,299300.0
550,4.6424,312700.0
551,4.3125,267200.0
552,5.1099,213100.0
553,4.125,359500.0
554,6.2296,291700.0
555,9.7449,500001.0
556,3.3125,100000.0
557,2.67,187500.0
558,1.3952,43100.0
559,3.2569,201500.0
560,6.0471,248400.0
561,3.0509,82700.0
562,3.5871,347100.0
563,1.1607,51700.0
564,9.5908,350000.0
565,2.0571,152300.0
566,2.532,172700.0
567,2.375,154400.0
568,4.2644,284100.0
569,4.8958,142500.0
570,3.4531,263900.0
571,6.1815,288500.0
572,2.0192,63700.0
573,1.8672,145800.0
574,3.7014,179600.0
575,3.875,137500.0
576,3.5,183000.0
577,4.4,209500.0
578,3.6486,229000.0
579,2.125,63300.0
580,5.0445,196200.0
581,8.2374,500001.0
582,2.7632,158900.0
583,5.3994,237900.0
584,6.1551,291800.0
585,2.0577,56700.0
586,4.75,190500.0
587,1.7891,60500.0
588,3.2632,138100.0
589,3.2109,376000.0
590,4.6556,199600.0
591,3.4821,170600.0
592,3.9352,406900.0
593,3.0583,160300.0
594,3.625,125000.0
595,2.1898,65500.0
596,2.5402,157500.0
597,6.6073,258100.0
598,2.2813,150700.0
599,3.5625,125700.0
600,1.5938,57600.0
601,4.5726,177500.0
602,1.9531,162500.0
603,4.1827,435100.0
604,5.3363,160800.0
605,4.0125,230100.0
606,1.5029,100000.0
607,2.5383,74000.0
608,3.5781,92800.0
609,2.6724,144500.0
610,2.6818,114100.0
611,2.2607,165600.0
612,1.55,100600.0
613,1.575,57100.0
614,4.3625,158800.0
615,3.0833,88400.0
616,3.0437,76600.0
617,1.7622,167900.0
618,3.8333,93800.0
619,3.8472,293300.0
620,3.6378,126100.0
621,2.5139,279500.0
622,5.1785,247300.0
623,4.7788,276000.0
624,6.7977,389700.0
625,6.8588,302000.0
626,4.9583,342800.0
627,3.2061,120400.0
628,2.5909,125400.0
629,2.6447,137500.0
630,3.7043,150800.0
631,3.864,123400.0
632,2.4167,191700.0
633,4.0208,323100.0
634,3.3214,209300.0
635,6.7546,402400.0
636,3.7318,327700.0
637,2.8214,190100.0
638,8.3818,377600.0
639,5.2729,322900.0
640,1.6971,138800.0
641,0.536,162500.0
642,1.879,218800.0
643,5.0447,249200.0
644,1.5863,81300.0
645,6.5234,357400.0
646,5.6345,231000.0
647,2.4135,135700.0
648,3.5074,93800.0
649,1.8477,179200.0
650,4.8488,194400.0
651,2.4412,61600.0
652,3.4265,85000.0
653,2.125,140000.0
654,2.6123,161300.0
655,2.0625,88900.0
656,2.8167,183500.0
657,5.0417,240800.0
658,3.3478,184900.0
659,4.3833,115200.0
660,3.4643,175000.0
661,4.0987,202400.0
662,6.1062,274600.0
663,1.89,124000.0
664,1.8833,96900.0
665,2.9292,183400.0
666,7.7197,225000.0
667,3.0865,225000.0
668,4.1656,313100.0
669,3.5022,281300.0
670,4.0833,141000.0
671,2.5588,78800.0
672,4.2234,162100.0
673,4.1661,364400.0
674,5.1386,404500.0
675,5.4286,273400.0
676,3.75,241700.0
677,5.2292,444500.0
678,3.9375,292900.0
679,2.5272,92000.0
680,6.5538,311600.0
681,2.5,143800.0
682,2.2287,140000.0
683,1.2475,104200.0
684,2.1029,109400.0
685,5.0452,231900.0
686,10.7372,500001.0
687,2.3917,85700.0
688,4.962,161700.0
689,2.8192,162500.0
690,0.844,350000.0
691,0.8185,187500.0
692,5.5385,431800.0
693,2.1944,158300.0
694,4.2254,320900.0
695,3.3679,350000.0
696,5.777,315900.0
697,2.1763,168800.0
698,3.0682,142000.0
699,4.0391,337500.0
700,4.1875,309300.0
701,3.9375,187500.0
702,6.9615,500001.0
703,3.2708,325000.0
704,1.9231,188500.0
705,2.75,90600.0
706,2.8175,135200.0
707,4.8603,198400.0
708,3.1901,167600.0
709,5.653,225800.0
710,10.7355,500001.0
711,2.1875,76400.0
712,7.912,367300.0
713,3.5365,111800.0
714,3.6719,259800.0
715,2.7426,103100.0
716,3.6389,130400.0
717,1.8447,198200.0
718,3.9,85900.0
719,4.1364,412000.0
720,4.8125,210500.0
721,4.1812,93700.0
722,2.631,109600.0
723,5.347,219500.0
724,3.1364,301600.0
725,2.8472,218800.0
726,2.3599,168400.0
727,1.9531,100800.0
728,2.1078,100600.0
729,1.6483,60800.0
730,4.81,93600.0
731,6.0332,244900.0
732,3.1111,72400.0
733,4.1667,162500.0
734,1.9107,39800.0
735,2.8239,150600.0
736,4.6786,263200.0
737,3.2717,130700.0
738,3.1729,218700.0
739,1.0,90600.0
740,1.125,60000.0
741,4.8304,493200.0
742,2.4444,475000.0
743,5.0779,333900.0
744,5.3644,168800.0
745,3.7655,197700.0
746,1.3,162500.0
747,10.898,500001.0
748,6.358,500001.0
749,1.5854,87500.0
750,2.3769,157300.0
751,2.7757,109800.0
752,2.5179,97400.0
753,3.111,247600.0
754,3.6729,137800.0
755,4.7168,223200.0
756,1.023,54200.0
757,3.9628,215600.0
758,4.0625,138700.0
759,2.325,109700.0
760,2.7788,115700.0
761,1.6559,101400.0
762,4.1033,281000.0
763,5.552,283900.0
764,2.9135,159400.0
765,3.9929,88300.0
766,4.375,291700.0
767,1.2404,52500.0
768,4.8554,206700.0
769,1.63,49500.0
770,1.4911,75800.0
771,4.0357,295900.0
772,2.9519,140900.0
773,2.334,72200.0
774,2.7137,196400.0
775,1.8993,78400.0
776,2.75,87500.0
777,3.1106,209400.0
778,4.0625,272800.0
779,1.875,66600.0
780,3.4904,196900.0
781,6.0247,500001.0
782,3.175,94400.0
783,2.9459,144400.0
784,3.125,233300.0
785,2.9306,46300.0
786,7.8383,372700.0
787,4.6923,181000.0
788,2.5474,198100.0
789,4.55,146800.0
790,3.0469,136000.0
791,5.0362,275300.0
792,6.7559,312000.0
793,3.9464,179600.0
794,2.2532,109400.0
795,3.0278,310600.0
796,4.2386,192300.0
797,3.6827,236800.0
798,4.4427,204500.0
799,8.3678,455300.0
800,1.2012,64600.0
801,2.7083,87800.0
802,3.0755,166800.0
803,4.5833,197300.0
804,1.787,51600.0
805,2.9479,184600.0
806,2.6036,287500.0
807,4.8021,290400.0
808,4.0598,335900.0
809,3.8275,238500.0
810,4.0437,162800.0
811,3.6354,256300.0
812,1.6452,41500.0
813,2.8031,86900.0
814,2.2165,231700.0
815,4.5667,271500.0
816,1.4091,84400.0
817,5.9683,495500.0
818,2.6964,138800.0
819,4.9615,292200.0
820,3.7969,164800.0
821,3.0938,312500.0
822,6.0774,334400.0
823,5.3243,265700.0
824,5.2528,269400.0
825,4.1719,146600.0
826,1.5491,225000.0
827,3.0233,255000.0
828,2.2443,146600.0
829,4.7965,160800.0
830,2.0125,143000.0
831,4.5987,255600.0
832,2.3849,122000.0
833,2.375,107500.0
834,1.3403,110800.0
835,6.1593,344000.0
836,2.1842,75200.0
837,3.25,176700.0
838,3.7574,92700.0
839,4.1458,231500.0
840,2.625,133900.0
841,3.75,190400.0
842,4.875,141700.0
843,4.2437,164100.0
844,7.4897,362600.0
845,1.6435,52600.0
846,3.1796,170300.0
847,3.0954,86500.0
848,3.89,170000.0
849,3.2135,123600.0
850,3.2813,268100.0
851,5.6152,359900.0
852,1.6725,187500.0
853,8.4952,359600.0
854,3.6294,240000.0
855,3.2969,189000.0
856,4.2594,242400.0
857,5.1435,150800.0
858,5.9629,286000.0
859,5.8718,201400.0
860,5.3403,489800.0
861,3.0156,103000.0
862,3.3269,81900.0
863,10.3953,500001.0
864,1.2056,87500.0
865,3.1131,77100.0
866,6.4242,365500.0
867,3.5096,139900.0
868,2.1472,143400.0
869,1.6747,100000.0
870,2.8711,329600.0
871,5.375,215700.0
872,1.725,287500.0
873,5.3816,500001.0
874,4.825,195100.0
875,5.7057,262100.0
876,1.125,233300.0
877,4.6176,352300.0
878,4.2762,310100.0
879,7.2045,500001.0
880,4.9091,259700.0
881,3.0375,171900.0
882,2.3015,156800.0
883,3.2705,113200.0
884,2.2969,116700.0
885,4.4391,306700.0
886,3.1406,100000.0
887,4.419,156900.0
888,1.4639,112500.0
889,2.9605,500001.0
890,6.3443,324700.0
891,3.6791,148100.0
892,2.1287,55300.0
893,2.1141,110900.0
894,10.2264,225000.0
895,3.9783,374100.0
896,2.9167,102700.0
897,2.9219,241300.0
898,2.9464,113500.0
899,8.039,382200.0
900,6.357,322500.0
901,3.2642,185600.0
902,2.4728,139700.0
903,1.7875,55000.0
904,3.125,156300.0
905,2.7,120400.0
906,3.5893,206600.0
907,5.6787,363600.0
908,2.6673,218100.0
909,1.2101,49100.0
910,2.1336,75000.0
911,1.7106,95500.0
912,7.0875,240700.0
913,3.184,140500.0
914,3.6369,158700.0
915,4.6429,223700.0
916,2.8906,134800.0
917,3.375,350000.0
918,4.5278,181800.0
919,4.4375,191500.0
920,3.5875,309300.0
921,3.0429,129600.0
922,3.2234,82000.0
923,3.4187,200500.0
924,4.5179,225600.0
925,1.8417,84700.0
926,4.9716,162500.0
927,3.3629,137500.0
928,2.4464,102100.0
929,4.2143,228500.0
930,1.9091,71300.0
931,2.7802,162500.0
932,5.5,276800.0
933,4.1674,214000.0
934,1.6769,63200.0
935,3.7562,321200.0
936,4.9013,330100.0
937,2.2883,86900.0
938,3.0083,181900.0
939,4.2386,500001.0
940,4.9024,182900.0
941,6.2884,414700.0
942,2.5625,131100.0
943,1.125,93800.0
944,5.2741,249400.0
945,2.125,57700.0
946,6.4211,288100.0
947,4.0473,127200.0
948,4.9125,140700.0
949,4.4306,170100.0
950,2.6386,177600.0
951,2.75,231300.0
952,1.9766,108000.0
953,2.5486,161100.0
954,5.1045,161300.0
955,2.5536,117200.0
956,7.0217,357900.0
957,1.8878,51600.0
958,3.7813,192200.0
959,5.4631,225600.0
960,2.5655,116400.0
961,3.48,95300.0
962,2.3958,175000.0
963,4.6394,173400.0
964,4.1544,119400.0
965,2.4688,169000.0
966,4.0703,223800.0
967,2.3,132800.0
968,2.6442,103300.0
969,3.2663,270600.0
970,5.1585,150800.0
971,2.2292,92000.0
972,2.7857,77400.0
973,3.8333,170400.0
974,2.1635,244200.0
975,4.5739,190500.0
976,4.7547,157600.0
977,3.4872,141400.0
978,4.8811,212200.0
979,3.8529,212000.0
980,3.7286,132000.0
981,1.9318,115900.0
982,3.5568,184500.0
983,3.2933,260000.0
984,7.7517,500001.0
985,4.6,239500.0
986,3.4559,364900.0
987,3.9816,179500.0
988,4.517,152200.0
989,1.5909,221900.0
990,3.5518,184600.0
991,2.7125,166100.0
992,3.944,172500.0
993,2.5682,120000.0
994,2.964,319700.0
995,5.3909,113000.0
996,5.592,239900.0
997,11.7794,500001.0
998,3.0642,342900.0
999,1.7083,166700.0
1000,6.8927,500001.0
1001,3.5385,157400.0
1002,3.5988,84500.0
1003,2.6937,111800.0
1004,4.3812,228200.0
1005,7.745,237400.0
1006,2.5313,45800.0
1007,1.75,49800.0
1008,5.8752,274200.0
1009,3.9063,192700.0
1010,3.8214,273600.0
1011,2.3382,59600.0
1012,4.4122,282300.0
1013,4.1679,201300.0
1014,2.2794,337500.0
1015,2.3594,127800.0
1016,5.2879,231200.0
1017,6.0116,271200.0
1018,3.1042,165000.0
1019,3.6852,109800.0
1020,2.5599,151400.0
1021,3.5857,165200.0
1022,5.2374,185500.0
1023,3.6771,172200.0
1024,6.3654,331200.0
1025,1.7158,94300.0
1026,3.8185,137200.0
1027,2.7621,109100.0
1028,3.4871,136400.0
1029,2.6364,148800.0
1030,2.1838,98300.0
1031,1.7969,37500.0
1032,1.9963,76900.0
1033,5.9684,193300.0
1034,2.6429,71300.0
1035,6.1642,277800.0
1036,2.6397,164400.0
1037,2.5833,83500.0
1038,2.288,263500.0
1039,1.9342,68600.0
1040,3.244,179800.0
1041,5.0659,238000.0
1042,2.6364,93800.0
1043,5.2449,387000.0
1044,5.0406,261400.0
1045,3.3371,140500.0
1046,3.5179,197200.0
1047,2.589,242400.0
1048,1.7237,105800.0
1049,5.3423,291700.0
1050,15.0001,350000.0
1051,2.101,56700.0
1052,7.4001,500001.0
1053,2.0724,97700.0
1054,2.5893,63600.0
1055,4.6071,337400.0
1056,3.7813,389200.0
1057,3.1,71300.0
1058,3.5938,243500.0
1059,2.3333,81300.0
1060,3.194,276300.0
1061,2.625,377300.0
1062,3.8826,92400.0
1063,1.3333,310000.0
1064,2.8167,160400.0
1065,2.0819,111800.0
1066,3.3693,71800.0
1067,5.1769,133000.0
1068,2.8967,95600.0
1069,2.2614,73000.0
1070,4.5568,286900.0
1071,3.0744,457700.0
1072,3.225,135800.0
1073,1.0349,67800.0
1074,2.2538,162500.0
1075,1.9875,325000.0
1076,1.025,118800.0
1077,1.8516,85000.0
1078,1.9423,98400.0
1079,5.1645,164100.0
1080,10.0968,500001.0
1081,1.5625,162500.0
1082,3.6531,166300.0
1083,9.1232,472000.0
1084,2.6437,195000.0
1085,1.4867,124000.0
1086,5.4639,238600.0
1087,4.3542,195600.0
1088,1.2273,87500.0
1089,3.1406,417600.0
1090,5.8783,405100.0
1091,2.5703,178600.0
1092,2.9184,100500.0
1093,4.1667,171900.0
1094,3.0,175000.0
1095,2.7824,450000.0
1096,1.2344,43300.0
1097,2.5363,158800.0
1098,3.3438,500001.0
1099,2.8295,72100.0
1100,4.4784,185200.0
1101,4.3456,148900.0
1102,2.4,173900.0
1103,3.3368,121200.0
1104,3.5156,200000.0
1105,4.3646,161400.0
1106,4.2719,270800.0
1107,6.7415,348200.0
1108,3.9286,262700.0
1109,4.7986,326100.0
1110,4.3661,222100.0
1111,2.9016,159800.0
1112,3.2083,145300.0
1113,3.6304,312200.0
1114,4.4,353800.0
1115,1.625,55000.0
1116,4.0388,120400.0
1117,2.3687,146800.0
1118,1.6111,74700.0
1119,2.6781,328800.0
1120,3.2757,186000.0
1121,4.7328,351100.0
1122,3.6823,295200.0
1123,4.1387,162500.0
1124,3.765,238000.0
1125,3.6875,171500.0
1126,2.0775,121400.0
1127,3.9327,190500.0
1128,1.8618,183300.0
1129,5.0237,241900.0
1130,5.5423,248700.0
1131,2.65,123800.0
1132,2.6382,76200.0
1133,8.9083,500001.0
1134,3.535,210300.0
1135,4.8831,154400.0
1136,6.837,383000.0
1137,2.1856,120500.0
1138,4.6312,124900.0
1139,2.6722,111500.0
1140,3.9464,230300.0
1141,3.0967,144000.0
1142,4.4,391300.0
1143,5.3044,319000.0
1144,3.7813,247800.0
1145,2.1759,61500.0
1146,4.6357,244900.0
1147,1.6678,166100.0
1148,3.5,216700.0
1149,5.0091,211500.0
1150,3.8056,425000.0
1151,1.0898,93400.0
1152,2.35,95700.0
1153,6.0296,194100.0
1154,2.7375,238000.0
1155,2.1806,134900.0
1156,1.1094,52500.0
1157,2.0677,214500.0
1158,3.8081,286700.0
1159,6.8336,457200.0
1160,3.0,251400.0
1161,2.5735,130500.0
1162,3.4269,301900.0
1163,1.5319,50500.0
1164,4.2206,157700.0
1165,3.0125,111700.0
